label,x,y
B1-0507a华师大附属周浦中学5201a①学生,120.0829426,30.09685301
上海必胜客有限公司虹中路店,121.3852512,31.19267348
天和湖滨生鲜家园预付,121.7606998,31.18546853
浦东证大丽笙酒店,121.5669354,31.2327293
航道（生鲜）,121.5968699,29.87694662
上海肯德基有限公司新源餐厅,121.7043496,31.20116455
B2-1911a奉贤区江海第一小学0402a②学生,121.4615979,30.91348336
上海宝山宜家家居有限公司,121.4090412,31.39862269
上海辉哥海鲜火锅餐饮有限公司桃江路店,121.4552915,31.21584703
新镇99(伍缘折扣超市),121.4202035,31.0264623
鸿安集体山东有限公司,118.5276634,36.09928993
上海年惠贸易有限责任公司（代理）,121.4878995,31.24916171
东安市场1082号(李珠萍),129.6293227,44.58463239
普陀区教育服务配送中心《银锄湖(分)》,121.4056398,31.23926753
山西太原中兴休闲食品批发,112.5508636,37.89027705
联华虎山,117.588382,37.64821334
黄冈市蕲春汇鑫食品批发商行,115.6007708,30.32871701
丹阳欧尚,119.5872726,31.98893061
北新泾,121.3784942,31.22260899
天环市场110号,115.078171,30.19634503
昆山美香悦食品有限公司,120.9658078,31.3289368
兴浪食品商行,113.638532,34.74883156
欧尚（中国）投资有限公司,121.4187689,29.67456773
上海市宝山区颜梅肉类经营部,121.4090412,31.39862269
迪美分公司,116.3944375,39.98018469
13.联华东海店,118.6293048,24.88600161
上海泰晤士西餐有限责任公司,121.4878995,31.24916171
御桥店(世纪联华),121.5384303,31.17298028
上海永胜食品有限公司,121.4878995,31.24916171
青岛力创食品有限公司,120.0280904,36.61334485
太仓威尔斯新材料,121.1589777,31.5719043
泉州德化亲亲宝贝妇幼店,118.2580389,25.67404936
颢鼎餐饮管理（上海）有限公司,121.4878995,31.24916171
宿迁市宿城区双汇冷鲜肉特约经营店,118.2746398,33.86282906
新风市场,112.2158418,30.34308145
香颂菜店（单位加盟）,119.9418834,32.47729812
闻喜店,111.3192868,35.37375316
湖南红星盛业食品股份有限公司,111.7206635,27.69586405
万有全（星舟汽修）,121.5002598,31.18384059
7、上海市宝山区老邱水产行,121.4090412,31.39862269
北京中商三农农业发展有限公司,116.395645,39.92998578
西区综合市场,101.5553323,26.61086914
上海市松江区九亭镇学金副食品经营部,121.3356451,31.13840425
上海昕光餐饮管理有限公司,121.4878995,31.24916171
辉腾饭店,121.4551642,31.2428615
上海肯德基有限公司永业餐厅,121.483442,31.21453286
大康度假城西餐厅,128.2199632,43.37735528
浙江省常山县世纪联众商贸有限公司,118.5121416,28.93731874
曲阳130(农工商),114.660664,38.70661221
上海英之龙食品有限公司,120.9961089,31.05422193
上海龙辉餐饮管理有限公司荣乐西路店,121.2022414,31.02409539
丰庄农贸市场15号-朱,121.3718619,31.25584807
梅岭北路店,121.4118682,31.24841485
上海首品餐饮管理有限公司杨浦第八分公司,121.5357166,31.30451048
上海肯德基有限公司中环餐厅,121.3909736,31.25253837
深圳市万达杰塑料制品有限公司,114.3312348,22.69321565
天津兆辉食品贸易有限公司,117.2108131,39.1439299
星河湾海归子女学校（索迪斯）,104.7401384,31.51138151
美滋贸易（上海）有限公司,121.4878995,31.24916171
徐州汇添富商贸有限公司,117.2084226,34.23662107
曹安陇南农副产品市场(金尔青)（加盟）,121.42091,31.13401634
齐河店（华联）,116.7455813,36.79432871
深圳民治街道店,114.041287,22.62569549
家乐加盟（兰溪店）预付,119.5333376,29.28410254
高桥市场69号,114.2966341,22.78286957
江安（家得利）,105.1287783,28.6635326
上海嘉定区江桥镇董折德食品店,121.3380603,31.24543297
凤城菜场,124.0729603,40.57957031
上海信谊万象,121.4878995,31.24916171
上海必胜客有限公司浦电路店,121.5362185,31.2264285
桐城市双全食品经营部,116.953559,30.97256797
上海青田食品有限公司,121.4878995,31.24916171
马陆批发市场17,121.2902251,31.33575521
上海益来副食品销售有限公司分公司,121.4373,31.01077685
五常市义城信米业有限公司,127.4911126,44.77254356
嘉善绿色统舱,120.9088728,30.90574807
长春铭旺食品有限公司,125.3136424,43.89833761
家得利普育东路店,121.5027011,31.21529536
大宁大润发,110.7108054,36.4326363
上海丰盈生鲜市场经营管理有限公司,121.4168051,31.2693949
江苏金洲粮油食品有限公司,119.3684889,33.01379717
沈家弄路(联华加盟),121.5506927,31.24400989
上海罗根食品,121.4878995,31.24916171
上海原野蔬菜食品有限公司,121.1586161,31.39002636
苏州鸿海食品,120.6873372,31.35509753
上海牛羊肉公司,121.4341311,31.17958257
味之鲜-济南晨生,117.0249671,36.68278473
上海英雯副食品有限公司,121.6229103,31.54122293
临沂亚进食品,118.3407682,35.07240907
上海肯德基有限公司宝龙餐厅,121.4692066,30.93658121
诸安浜菜市场,120.9378218,30.78773466
上海泰林食品有限公司,121.4026715,31.62731937
强生汽车-利仕餐饮,121.4865005,31.29588215
浦东码头,120.6115264,27.99965732
02.桂巷,121.461549,31.34166468
上海市宝山区成丽粮油经营部,121.4090412,31.39862269
品尊国际(易初莲花),119.3742944,32.3938608
河北鼎康粮油工业集团,117.2202968,39.17314893
苏州盈泰食品经营部,120.6199071,31.31798737
1017沃尔玛华东百货有限公司上海五角场分店,121.5208323,31.30620832
上海市青浦区浙胜食品店,121.0914252,31.1308624
上海市闵行区贵隽熟食店,121.4250243,31.09353754
松江区永丰街道洪友食品经营部,121.2222615,31.01017955
上海必胜客有限公司季景餐厅,121.5933096,31.34335445
上海龙华乐购生活购物有限公司,121.5175467,31.26771331
上海伟国肉鸭产销有限公司昌邑分公司,121.4878995,31.24916171
02.曹路,121.674078,31.2850592
25.沃尔玛祁连山店,116.7243326,23.36786813
上海龙辉餐饮管理有限公司百联又一城店,121.5217798,31.3075512
上海山华水果批发市场,121.7578961,31.18153435
大润发昆山店,120.9749422,31.37919911
上海必胜客有限公司武夷路店,121.4191759,31.21994537
南阳市方城县喜羊羊孕婴童用品有限公司,113.0168222,33.29995433
上海晟策网络科技有限公司（哥本哈根）,121.4878995,31.24916171
青浦区练塘生鲜店加盟预付,121.0515581,31.01282187
绵绣园学校,120.8598093,31.02588712
杭州派纳曲贸易有限公司,120.2193754,30.25924446
宝教月浦,116.6952755,23.4260929
力江冻品,110.2515481,23.58597491
万有全（石龙地铁大菜班）,112.8946907,33.89209359
海关学院餐厅-（拉面组）H,121.5882828,31.17398683
上海利静进出口有限公司,121.4878995,31.24916171
万有全（教育学院）,87.62198064,43.81244103
B1-0411b马桥文来小学0202a①学生,121.3894293,31.65199715
吉林白山,126.4357977,41.9458594
上海御华果品有限公司,121.514439,31.21983899
安徽勤强,117.2160052,31.85925242
崇明竖河(华联供销),121.5961564,31.58922152
上海龙辉餐饮管理有限公司闸北大悦城店,121.478451,31.24913152
牡丹江易买得,129.6080354,44.58852115
上海田野农副产品配送服务有限公司,121.6248584,31.16768897
青岛新快进出口有限公司,120.388223,36.0704341
上海陇南肉类批发市场罗秀路1501号,121.4208205,31.13399467
上海肯德基有限公司光大餐厅,121.434849,31.17399486
上海润伟食品有限公司,121.4026715,31.62731937
上海必胜客有限公司水产西路店,121.4250675,31.36237299
家得利瑞金,117.0693098,30.51283722
苏州祥文东北家禽,120.9154383,31.24795028
上海骏丰食品有限公司,121.3640748,31.32457952
上海吉妮塔餐饮有限公司,121.4981704,31.26008168
上海百鲜调理食品有限公司,121.4026715,31.62731937
上海伊洁清真食品有限公司,121.4963624,31.26089162
城基41(农工商),112.6695852,24.3427108
苏州闻达食品配料有限公司,120.6199071,31.31798737
上海南外滩菜场,121.5048914,31.22883151
田林加盟（预付）,105.9998272,24.39253848
北京中荣瑞英食品有限公司,116.395645,39.92998578
南昌双汇食品有限公司（江西省）,115.8407078,28.91423144
安徽怡亚通深度供应链管理有限公司,117.3096036,31.83493761
杭州嘉誉农业开发有限公司,119.7321017,30.21208027
科技学院（江枫校区二食堂）,116.0243608,28.68956984
上海优益佳超市有限公司,121.4345713,31.4237488
鄞县大道1299号鄞州商会大厦南楼30层,121.5592787,29.82440993
珍鼎-圣戈班北斗,117.6428392,24.55719066
苏州鸿海食品有限公司,120.6199071,31.31798737
